,Gyro_X,Gyro_Y,Gyro_Z,Timestamp
2625,-0.31,-0.49,0.55,2024-08-13 16:48:24
2626,0.06,0.37,0.55,2024-08-13 16:48:25
2627,-0.06,0.61,0.55,2024-08-13 16:48:26
2628,0.49,0.61,0.55,2024-08-13 16:48:27
2629,0.49,0.79,0.55,2024-08-13 16:48:28
2630,0.24,0.31,0.55,2024-08-13 16:48:29
2631,0.24,0.31,0.61,2024-08-13 16:48:30
2632,0.31,0.55,0.55,2024-08-13 16:48:31
2633,0.12,0.43,0.61,2024-08-13 16:48:32
2634,0.79,0.92,0.55,2024-08-13 16:48:33
2635,0.24,0.55,0.55,2024-08-13 16:48:34
2636,0.43,0.49,0.55,2024-08-13 16:48:35
2637,0.0,0.55,0.55,2024-08-13 16:48:36
2638,0.43,0.61,0.55,2024-08-13 16:48:37
2639,0.55,1.22,0.55,2024-08-13 16:48:38
2640,0.24,0.49,0.55,2024-08-13 16:48:39
2641,2.93,1.83,0.73,2024-08-13 16:48:40
2642,-0.49,-0.12,0.55,2024-08-13 16:48:41
2643,0.24,0.55,0.55,2024-08-13 16:48:42
2644,0.31,0.55,0.55,2024-08-13 16:48:43
2645,0.31,0.55,0.55,2024-08-13 16:48:44
2646,0.37,0.49,0.61,2024-08-13 16:48:45
2647,0.31,0.49,0.55,2024-08-13 16:48:46
2648,0.06,0.24,0.55,2024-08-13 16:48:47
2649,0.24,0.49,0.49,2024-08-13 16:48:48
2650,0.12,0.37,0.55,2024-08-13 16:48:49
2651,0.49,0.61,0.55,2024-08-13 16:48:50
2652,0.37,0.55,0.55,2024-08-13 16:48:51
2653,0.12,0.43,0.55,2024-08-13 16:48:52
2654,0.24,0.55,0.55,2024-08-13 16:48:53
2655,0.37,0.55,0.55,2024-08-13 16:48:54
2656,0.18,0.49,0.55,2024-08-13 16:48:55
2657,0.31,0.43,0.55,2024-08-13 16:48:56
2658,0.24,0.43,0.55,2024-08-13 16:48:57
2659,0.49,0.55,0.55,2024-08-13 16:48:58
2660,0.31,0.49,0.55,2024-08-13 16:48:59
2661,0.49,0.67,0.55,2024-08-13 16:49:00
2662,0.79,0.43,0.55,2024-08-13 16:49:01
2663,0.06,0.61,0.49,2024-08-13 16:49:02
2664,0.24,0.49,0.55,2024-08-13 16:49:03
2665,-0.12,0.49,0.55,2024-08-13 16:49:04
2666,0.18,0.61,0.55,2024-08-13 16:49:05
2667,0.18,0.49,0.55,2024-08-13 16:49:06
2668,0.55,0.55,0.55,2024-08-13 16:49:07
2669,0.37,0.61,0.55,2024-08-13 16:49:08
2670,0.24,0.55,0.55,2024-08-13 16:49:09
2671,0.37,0.49,0.55,2024-08-13 16:49:10
2672,0.49,0.61,0.55,2024-08-13 16:49:11
2673,0.79,0.98,0.55,2024-08-13 16:49:12
2674,0.24,0.55,0.55,2024-08-13 16:49:13
2675,0.31,0.55,0.55,2024-08-13 16:49:14
2676,-0.12,0.43,0.55,2024-08-13 16:49:15
2677,0.55,0.61,0.61,2024-08-13 16:49:16
2678,0.43,0.49,0.55,2024-08-13 16:49:17
2679,0.37,0.55,0.55,2024-08-13 16:49:18
2680,0.49,0.55,0.61,2024-08-13 16:49:19
2681,0.79,0.79,0.55,2024-08-13 16:49:20
2682,0.92,0.85,0.55,2024-08-13 16:49:21
2683,0.55,0.61,0.55,2024-08-13 16:49:22
2684,0.37,0.73,0.55,2024-08-13 16:49:23
2685,0.49,0.55,0.55,2024-08-13 16:49:24
2686,0.18,0.61,0.55,2024-08-13 16:49:25
2687,0.37,0.73,0.55,2024-08-13 16:49:26
2688,0.12,0.49,0.55,2024-08-13 16:49:27
2689,0.24,0.55,0.61,2024-08-13 16:49:28
2690,0.12,0.43,0.55,2024-08-13 16:49:29
2691,0.24,0.49,0.55,2024-08-13 16:49:30
2692,0.24,0.49,0.55,2024-08-13 16:49:31
2693,0.31,0.49,0.55,2024-08-13 16:49:32
2694,0.24,0.49,0.55,2024-08-13 16:49:33
